id,descripcion,dominio,region,hub,nodo,trigger,b,r2,r_pearson,p,se_b,ci_lo,ci_hi,dw,n,year_min,year_max,significativo,rho_ar1,n_eff,se_infl,estimable,p_ar1,sig_ar1,sig_ar1_solo_gl,corregible
B299,Israel→Egypt 1950-2018,B,Medio_Oriente,Israel,Egypt,gradual,-0.059,0.0341,-0.1846,0.1288,0.0384,-0.1342,0.0162,0.033,69,1950,2018,False,0.9835,0.57,10.964,False,,False,False,True
B300,Israel→Jordan 1950-2018,B,Medio_Oriente,Israel,Jordan,gradual,0.165,0.4032,0.635,0.0,0.0245,0.1169,0.213,0.18,69,1950,2018,True,0.91,3.25,4.607,True,0.3452461981433844,False,False,True
B301,Israel→Lebanon 1950-2018,B,Medio_Oriente,Israel,Lebanon,gradual,0.4242,0.4717,0.6868,0.0,0.0549,0.3167,0.5317,0.245,69,1950,2018,True,0.8775,4.5,3.915,True,0.16093516693226995,False,True,True
B302,Israel→Syria 1950-2018,B,Medio_Oriente,Israel,Syria,gradual,0.4812,0.5697,0.7548,0.0,0.0511,0.381,0.5813,0.078,69,1950,2018,True,0.961,1.37,7.091,False,,False,False,True
B303,Israel→Yemen 1950-2018,B,Medio_Oriente,Israel,Yemen,gradual,0.2189,0.4853,0.6966,0.0,0.0275,0.1649,0.2729,0.124,69,1950,2018,True,0.938,2.21,5.591,False,,False,False,True
B304,Iran→Turkey 1913-2018,B,Medio_Oriente,Iran,Turkey,gradual,-0.0834,0.0853,-0.2921,0.0141,0.0331,-0.1483,-0.0185,0.139,70,1913,2018,True,0.9305,2.52,5.27,False,,False,False,True
B305,Turkey→Iraq 1913-2018,B,Medio_Oriente,Turkey,Iraq,gradual,0.3799,0.2835,0.5325,0.0,0.0732,0.2364,0.5235,0.106,70,1913,2018,True,0.947,1.91,6.061,False,,False,False,True
B306,Saudi Arabia→Turkey 1913-2018,B,Medio_Oriente,Saudi Arabia,Turkey,gradual,0.1534,0.2482,0.4982,0.0,0.0324,0.0899,0.2168,0.26,70,1913,2018,True,0.87,4.87,3.793,True,0.30415840636015845,False,True,True
B307,Turkey→Egypt 1913-2018,B,Medio_Oriente,Turkey,Egypt,gradual,0.0333,0.038,0.1948,0.106,0.0203,-0.0065,0.0731,0.25,70,1913,2018,False,0.875,4.67,3.873,True,0.703699090374695,False,False,True
B308,Jordan→Turkey 1913-2018,B,Medio_Oriente,Jordan,Turkey,gradual,-0.2112,0.4822,-0.6944,0.0,0.0265,-0.2632,-0.1592,0.201,70,1913,2018,True,0.8995,3.7,4.347,True,0.22967573143816175,False,True,True
B309,Lebanon→Turkey 1913-2018,B,Medio_Oriente,Lebanon,Turkey,gradual,-0.4608,0.5661,-0.7524,0.0,0.0489,-0.5567,-0.365,0.33,70,1913,2018,True,0.835,6.29,3.335,True,0.043820199107718664,True,True,True
B310,Syria→Turkey 1913-2018,B,Medio_Oriente,Syria,Turkey,gradual,-0.515,0.4305,-0.6561,0.0,0.0718,-0.6558,-0.3742,0.058,70,1913,2018,True,0.971,1.03,8.244,False,,False,False,True
B311,Turkey→Yemen 1950-2018,B,Medio_Oriente,Turkey,Yemen,gradual,0.2704,0.3959,0.6292,0.0,0.0408,0.1904,0.3504,0.062,69,1950,2018,True,0.969,1.09,7.97,False,,False,False,True
B312,Iran→Iraq 1913-2018,B,Medio_Oriente,Iran,Iraq,gradual,0.2965,0.2892,0.5377,0.0,0.0564,0.186,0.4071,0.19,70,1913,2018,True,0.905,3.49,4.478,True,0.3944703316609006,False,False,True
B313,Saudi Arabia→Iran 1913-2018,B,Medio_Oriente,Saudi Arabia,Iran,gradual,0.2368,0.7522,0.8673,0.0,0.0165,0.2045,0.2691,0.475,70,1913,2018,True,0.7625,9.43,2.724,True,0.0009599191390312011,True,True,True
