id,descripcion,dominio,b,r2,p,n,significativo,fuente_real
B166,Singapore→Philippines 1902-2018,B,0.5528,0.4042,0.0,107,True,True
B167,Singapore→Vietnam 1913-2018,B,0.6638,0.7835,0.0,70,True,True
B168,Thailand→Malaysia 1913-2018,B,0.0663,0.1861,0.0002,72,True,True
B169,Malaysia→Indonesia 1900-2018,B,0.3271,0.8178,0.0,112,True,True
B170,Malaysia→Philippines 1902-2018,B,0.412,0.5728,0.0,111,True,True
B171,Malaysia→Vietnam 1913-2018,B,0.3562,0.6986,0.0,70,True,True
B172,Thailand→Indonesia 1913-2018,B,0.2186,0.724,0.0,72,True,True
B173,Thailand→Philippines 1913-2018,B,0.4763,0.6751,0.0,72,True,True
B174,Thailand→Vietnam 1913-2018,B,0.3931,0.6642,0.0,70,True,True
B175,Philippines→Indonesia 1902-2018,B,-0.1027,0.0973,0.001,109,True,True
B176,Vietnam→Indonesia 1913-2018,B,-0.1999,0.4897,0.0,70,True,True
B177,Philippines→Vietnam 1913-2018,B,-0.0664,0.0457,0.0755,70,False,True
B178,Pakistan→India 1950-2018,B,0.0446,0.0913,0.0116,69,True,True
B179,India→Bangladesh 1950-2018,B,0.1545,0.7034,0.0,69,True,True
B180,Sri Lanka→India 1900-2018,B,0.0173,0.0453,0.0201,119,True,True
B181,India→Nepal 1913-2018,B,0.1811,0.5668,0.0,70,True,True
B182,Pakistan→Bangladesh 1950-2018,B,0.1991,0.4421,0.0,69,True,True
B183,Sri Lanka→Pakistan 1950-2018,B,-0.0387,0.0857,0.0146,69,True,True
B184,Pakistan→Nepal 1950-2018,B,0.228,0.7394,0.0,69,True,True
B185,Sri Lanka→Bangladesh 1950-2018,B,0.1604,0.5109,0.0,69,True,True
B186,Bangladesh→Nepal 1950-2018,B,0.0288,0.02,0.2463,69,False,True
B187,Sri Lanka→Nepal 1913-2018,B,0.1898,0.5099,0.0,70,True,True
B188,Israel→Turkey 1950-2018,B,-0.0515,0.0573,0.0476,69,True,True
B189,Israel→Iran 1950-2018,B,0.0483,0.0323,0.1394,69,False,True
B190,Israel→Iraq 1950-2018,B,0.3498,0.2768,0.0,69,True,True
B191,Saudi Arabia→Israel 1950-2018,B,0.1447,0.2404,0.0,69,True,True
B192,Israel→Egypt 1950-2018,B,-0.059,0.0341,0.1288,69,False,True
B193,Iran→Turkey 1913-2018,B,-0.0834,0.0853,0.0141,70,True,True
B194,Turkey→Iraq 1913-2018,B,0.3799,0.2835,0.0,70,True,True
B195,Saudi Arabia→Turkey 1913-2018,B,0.1534,0.2482,0.0,70,True,True
B196,Turkey→Egypt 1913-2018,B,0.0333,0.038,0.106,70,False,True
B197,Iran→Iraq 1913-2018,B,0.2965,0.2892,0.0,70,True,True
B198,Saudi Arabia→Iran 1913-2018,B,0.2368,0.7522,0.0,70,True,True
B199,Iran→Egypt 1913-2018,B,-0.0501,0.0174,0.2762,70,False,True
B200,Saudi Arabia→Iraq 1913-2018,B,0.5333,0.5934,0.0,70,True,True
B201,Iraq→Egypt 1913-2018,B,-0.3466,0.2123,0.0001,70,True,True
B202,Saudi Arabia→Egypt 1913-2018,B,0.1867,0.2003,0.0001,70,True,True
B203,Egypt→Morocco 1913-2018,B,0.2342,0.5225,0.0,70,True,True
B204,Algeria→Egypt 1913-2018,B,-0.1119,0.2704,0.0,70,True,True
B205,Tunisia→Egypt 1913-2018,B,-0.0477,0.0748,0.022,70,True,True
B206,Egypt→Sudan 1950-2018,B,0.4554,0.7387,0.0,69,True,True
B207,Algeria→Morocco 1913-2018,B,0.1223,0.3615,0.0,70,True,True
B208,Tunisia→Morocco 1913-2018,B,0.1865,0.7139,0.0,70,True,True
B209,Morocco→Sudan 1950-2018,B,0.1728,0.3651,0.0,69,True,True
B210,Algeria→Tunisia 1913-2018,B,-0.0643,0.1569,0.0007,70,True,True
B211,Algeria→Sudan 1950-2018,B,0.3214,0.7798,0.0,69,True,True
B212,Tunisia→Sudan 1950-2018,B,0.3805,0.7114,0.0,69,True,True
B213,South Africa→Nigeria 1950-2018,B,-0.0819,0.1448,0.0013,69,True,True
B214,South Africa→Kenya 1950-2018,B,-0.0048,0.0024,0.6924,69,False,True
B215,South Africa→Ghana 1950-2018,B,0.1791,0.6247,0.0,69,True,True
B216,South Africa→Zimbabwe 1950-2018,B,0.1596,0.161,0.0006,69,True,True
B217,South Africa→Zambia 1950-2018,B,0.0833,0.201,0.0001,69,True,True
B218,South Africa→Tanzania 1950-2018,B,-0.0223,0.0229,0.2144,69,False,True
B219,South Africa→Uganda 1950-2018,B,0.1837,0.7029,0.0,69,True,True
B220,South Africa→Mozambique 1950-2018,B,0.4959,0.5914,0.0,69,True,True
B221,Botswana→South Africa 1950-2018,B,0.9003,0.7224,0.0,69,True,True
B222,Nigeria→Kenya 1950-2018,B,0.0771,0.108,0.0058,69,True,True
B223,Nigeria→Ghana 1950-2018,B,0.261,0.5996,0.0,69,True,True
B224,Nigeria→Zimbabwe 1950-2018,B,0.2415,0.1719,0.0004,69,True,True
B225,Nigeria→Zambia 1950-2018,B,0.1652,0.4034,0.0,69,True,True
B226,Nigeria→Tanzania 1950-2018,B,0.0595,0.2202,0.0,69,True,True
B227,Nigeria→Uganda 1950-2018,B,0.2656,0.5929,0.0,69,True,True
B228,Nigeria→Mozambique 1950-2018,B,0.5777,0.4984,0.0,69,True,True
B229,Botswana→Nigeria 1950-2018,B,0.8184,0.7383,0.0,69,True,True
B230,Ghana→Kenya 1950-2018,B,-0.1838,0.5114,0.0,69,True,True
B231,Zimbabwe→Kenya 1950-2018,B,-0.1644,0.1861,0.0002,69,True,True
B232,Kenya→Zambia 1950-2018,B,0.0881,0.128,0.0025,69,True,True
B233,Kenya→Tanzania 1950-2018,B,-0.0176,0.0107,0.3977,69,False,True
B234,Kenya→Uganda 1950-2018,B,0.1885,0.5205,0.0,69,True,True
B235,Kenya→Mozambique 1950-2018,B,0.5006,0.5816,0.0,69,True,True
B236,Botswana→Kenya 1950-2018,B,0.8955,0.7592,0.0,69,True,True
B237,Ghana→Zimbabwe 1950-2018,B,-0.0195,0.0021,0.7053,69,False,True
B238,Ghana→Zambia 1950-2018,B,-0.0957,0.3996,0.0,69,True,True
B239,Ghana→Tanzania 1950-2018,B,-0.2014,0.6348,0.0,69,True,True
B240,Ghana→Uganda 1950-2018,B,0.0046,0.0028,0.6685,69,False,True
B241,Ghana→Mozambique 1950-2018,B,0.3168,0.3456,0.0,69,True,True
B242,Botswana→Ghana 1950-2018,B,1.0793,0.7566,0.0,69,True,True
B243,Zimbabwe→Zambia 1950-2018,B,-0.0763,0.0245,0.1986,69,False,True
B244,Zimbabwe→Tanzania 1950-2018,B,-0.182,0.1198,0.0036,69,True,True
B245,Zimbabwe→Uganda 1950-2018,B,0.0241,0.0034,0.6321,69,False,True
B246,Zimbabwe→Mozambique 1950-2018,B,0.3362,0.7097,0.0,69,True,True
B247,Botswana→Zimbabwe 1950-2018,B,1.0599,0.6668,0.0,69,True,True
B248,Zambia→Tanzania 1950-2018,B,-0.1057,0.333,0.0,69,True,True
B249,Zambia→Uganda 1950-2018,B,0.1004,0.402,0.0,69,True,True
B250,Zambia→Mozambique 1950-2018,B,0.4125,0.4294,0.0,69,True,True
B251,Botswana→Zambia 1950-2018,B,0.9836,0.702,0.0,69,True,True
B252,Uganda→Tanzania 1950-2018,B,-0.206,0.6282,0.0,69,True,True
B253,Mozambique→Tanzania 1950-2018,B,-0.5182,0.4808,0.0,69,True,True
B254,Botswana→Tanzania 1950-2018,B,0.8779,0.7515,0.0,69,True,True
B255,Mozambique→Uganda 1950-2018,B,-0.3122,0.3511,0.0,69,True,True
B256,Botswana→Uganda 1950-2018,B,1.084,0.7565,0.0,69,True,True
B257,Botswana→Mozambique 1950-2018,B,1.3961,0.71,0.0,69,True,True
B258,New Zealand→Australia 1900-2018,B,-0.1096,0.4022,0.0,119,True,True
D_01,HackerEarth activity power-law (4771 users),D,-1.6398,0.9519,0.0,4771,True,True
D_02,HackerEarth credits power-law,D,-1.5205,0.7222,0.0,669,True,True
D_03,HackerEarth runs power-law,D,-0.9311,0.9504,0.0,270,True,True
E2_01,Lynx→Hare Hudson Bay 1900-1920,E2,0.5483,0.2031,0.0403,21,True,True
E2_02,Lynx population vs equilibrium 1821-1850,E2,-0.2592,0.0289,0.369,30,False,True
F1_01,Stellar/planetary mass dominance vs orbit (exoplanets),F1,-0.5399,0.2157,0.0,2300,True,True
F1_02,Solar System Jupiter dominance,F1,-3.0737,0.5751,0.048159,7,True,True
F2_01,Stellar mass-radius relation (exoplanet hosts),F2,1.2734,0.4759,0.0,2306,True,True
F3_01,Multiplanet mass dominance (n=11 planets),F3,1.264,0.9041,7e-06,11,True,True
C_MX_NBODY,Mexico 32 entidades N-body (INEGI 2022),C,-0.4732,0.8705,0.0,32,True,True
