id,descripcion,dominio,b,r2,p,n,fuente,significativo
E3_134,Martinique COVID-19 growth phase 2020,E3,0.1087,0.8676,0.0,60,OWID COVID-19 (JHU),True
E3_135,Mauritania COVID-19 growth phase 2020,E3,1.1544,0.8941,0.0,60,OWID COVID-19 (JHU),True
E3_136,Mauritius COVID-19 growth phase 2020,E3,0.3923,0.8055,0.0,60,OWID COVID-19 (JHU),True
E3_137,Mayotte COVID-19 growth phase 2020,E3,0.8506,0.7745,0.0,60,OWID COVID-19 (JHU),True
E3_138,Mexico COVID-19 growth phase 2020,E3,1.74,0.8916,0.0,60,OWID COVID-19 (JHU),True
E3_139,Micronesia (country) COVID-19 growth phase 2020,E3,1.202,0.7244,0.0,60,OWID COVID-19 (JHU),True
E3_140,Moldova COVID-19 growth phase 2020,E3,1.1221,0.9289,0.0,60,OWID COVID-19 (JHU),True
E3_141,Monaco COVID-19 growth phase 2020,E3,0.2505,0.9047,0.0,60,OWID COVID-19 (JHU),True
E3_142,Mongolia COVID-19 growth phase 2020,E3,0.1836,0.8539,0.0,60,OWID COVID-19 (JHU),True
E3_143,Montenegro COVID-19 growth phase 2020,E3,0.8603,0.8288,0.0,60,OWID COVID-19 (JHU),True
E3_144,Montserrat COVID-19 growth phase 2020,E3,0.1399,0.8515,0.0,60,OWID COVID-19 (JHU),True
E3_145,Morocco COVID-19 growth phase 2020,E3,1.0127,0.913,0.0,60,OWID COVID-19 (JHU),True
E3_146,Mozambique COVID-19 growth phase 2020,E3,0.7523,0.8441,0.0,60,OWID COVID-19 (JHU),True
E3_147,Myanmar COVID-19 growth phase 2020,E3,0.2721,0.8853,0.0,60,OWID COVID-19 (JHU),True
E3_148,Namibia COVID-19 growth phase 2020,E3,1.1794,0.9146,0.0,60,OWID COVID-19 (JHU),True
E3_149,Nauru COVID-19 growth phase 2020,E3,0.7872,0.7621,0.0,60,OWID COVID-19 (JHU),True
E3_150,Nepal COVID-19 growth phase 2020,E3,1.7131,0.8677,0.0,60,OWID COVID-19 (JHU),True
E3_151,Netherlands COVID-19 growth phase 2020,E3,1.6906,0.9206,0.0,60,OWID COVID-19 (JHU),True
E3_152,New Caledonia COVID-19 growth phase 2020,E3,0.0222,0.8511,0.0,60,OWID COVID-19 (JHU),True
E3_153,New Zealand COVID-19 growth phase 2020,E3,0.2798,0.8149,0.0,60,OWID COVID-19 (JHU),True
E3_154,Nicaragua COVID-19 growth phase 2020,E3,0.7154,0.9092,0.0,60,OWID COVID-19 (JHU),True
E3_155,Niger COVID-19 growth phase 2020,E3,0.5771,0.8481,0.0,60,OWID COVID-19 (JHU),True
E3_156,Nigeria COVID-19 growth phase 2020,E3,1.3288,0.813,0.0,60,OWID COVID-19 (JHU),True
E3_157,Niue COVID-19 growth phase 2020,E3,0.6349,0.7606,0.0,60,OWID COVID-19 (JHU),True
E3_158,North Macedonia COVID-19 growth phase 2020,E3,0.9058,0.9136,0.0,60,OWID COVID-19 (JHU),True
E3_159,Northern Mariana Islands COVID-19 growth phase 2020,E3,0.0692,0.7292,0.0,60,OWID COVID-19 (JHU),True
E3_160,Norway COVID-19 growth phase 2020,E3,1.2447,0.9021,0.0,60,OWID COVID-19 (JHU),True
E3_161,Oman COVID-19 growth phase 2020,E3,1.2628,0.862,0.0,60,OWID COVID-19 (JHU),True
E3_162,Pakistan COVID-19 growth phase 2020,E3,1.4182,0.8797,0.0,60,OWID COVID-19 (JHU),True
E3_163,Palau COVID-19 growth phase 2020,E3,1.2169,0.8972,0.0,60,OWID COVID-19 (JHU),True
E3_164,Palestine COVID-19 growth phase 2020,E3,0.3592,0.791,0.0,60,OWID COVID-19 (JHU),True
E3_165,Panama COVID-19 growth phase 2020,E3,1.3874,0.931,0.0,60,OWID COVID-19 (JHU),True
E3_166,Papua New Guinea COVID-19 growth phase 2020,E3,0.3703,0.9069,0.0,60,OWID COVID-19 (JHU),True
E3_167,Paraguay COVID-19 growth phase 2020,E3,0.7415,0.8136,0.0,60,OWID COVID-19 (JHU),True
E3_168,Peru COVID-19 growth phase 2020,E3,1.9399,0.8409,0.0,60,OWID COVID-19 (JHU),True
E3_169,Philippines COVID-19 growth phase 2020,E3,1.6119,0.8991,0.0,60,OWID COVID-19 (JHU),True
E3_170,Poland COVID-19 growth phase 2020,E3,1.7237,0.9235,0.0,60,OWID COVID-19 (JHU),True
E3_171,Portugal COVID-19 growth phase 2020,E3,1.5254,0.9211,0.0,60,OWID COVID-19 (JHU),True
E3_172,Puerto Rico COVID-19 growth phase 2020,E3,0.4911,0.9244,0.0,60,OWID COVID-19 (JHU),True
E3_173,Qatar COVID-19 growth phase 2020,E3,1.366,0.7414,0.0,60,OWID COVID-19 (JHU),True
E3_174,Reunion COVID-19 growth phase 2020,E3,0.3451,0.7952,0.0,60,OWID COVID-19 (JHU),True
E3_175,Romania COVID-19 growth phase 2020,E3,1.6656,0.8981,0.0,60,OWID COVID-19 (JHU),True
E3_176,Russia COVID-19 growth phase 2020,E3,2.3362,0.8917,0.0,60,OWID COVID-19 (JHU),True
E3_177,Rwanda COVID-19 growth phase 2020,E3,0.4359,0.8287,0.0,60,OWID COVID-19 (JHU),True
E3_178,Saint Barthelemy COVID-19 growth phase 2020,E3,0.2041,0.8421,0.0,60,OWID COVID-19 (JHU),True
E3_179,Saint Helena COVID-19 growth phase 2020,E3,0.851,0.7059,0.0,60,OWID COVID-19 (JHU),True
E3_180,Saint Kitts and Nevis COVID-19 growth phase 2020,E3,0.4479,0.9046,0.0,60,OWID COVID-19 (JHU),True
E3_181,Saint Lucia COVID-19 growth phase 2020,E3,0.3604,0.9175,0.0,60,OWID COVID-19 (JHU),True
E3_182,Saint Martin (French part) COVID-19 growth phase 2020,E3,0.4518,0.8913,0.0,60,OWID COVID-19 (JHU),True
E3_183,Saint Pierre and Miquelon COVID-19 growth phase 2020,E3,0.7739,0.916,0.0,60,OWID COVID-19 (JHU),True
E3_184,Saint Vincent and the Grenadines COVID-19 growth phase 2020,E3,0.9326,0.7085,0.0,60,OWID COVID-19 (JHU),True
E3_185,Samoa COVID-19 growth phase 2020,E3,1.2938,0.9256,0.0,60,OWID COVID-19 (JHU),True
E3_186,San Marino COVID-19 growth phase 2020,E3,0.4649,0.8535,0.0,60,OWID COVID-19 (JHU),True
E3_187,Sao Tome and Principe COVID-19 growth phase 2020,E3,0.47,0.8177,0.0,60,OWID COVID-19 (JHU),True
E3_188,Saudi Arabia COVID-19 growth phase 2020,E3,1.9204,0.8814,0.0,60,OWID COVID-19 (JHU),True
E3_189,Senegal COVID-19 growth phase 2020,E3,0.9664,0.7351,0.0,60,OWID COVID-19 (JHU),True
E3_190,Serbia COVID-19 growth phase 2020,E3,1.4613,0.9169,0.0,60,OWID COVID-19 (JHU),True
E3_191,Seychelles COVID-19 growth phase 2020,E3,0.0897,0.8546,0.0,60,OWID COVID-19 (JHU),True
